Spiel;Genre;Minispiel;"Geforderte Skills"
Harry Potter und der Halbblut-Prinz;Action-Adventure;Zauberduelle;Strategie
Harry Potter und der Halbblut-Prinz;Action-Adventure;Exploding Snap;Timing
Harry Potter und der Halbblut-Prinz;Action-Adventure;Patience Game;Timing
Harry Potter und der Halbblut-Prinz;Action-Adventure;Bavarian Rules Snap;Timing
Mafia II;Action-Adventure;Lockpicking;Timing
The Order: 1886;Action-Adventure;Lockpicking;Motorik, Timing
The Order: 1886;Action-Adventure;Umkehrer/Gleichrichter TS-27 (Stromzufuhr unterbrechen);Motorik, Timing
The Order: 1886;Action-Adventure;Morse Code;Motorik, Timing
Mafia III;Action-Adventure;Lockpulling;Motorik, Timing
Fallout 4;Open World RPG;Lockpicking;Motorik
Fallout 4;Open World RPG;Hacking;Logik
Fallout 4;Open World RPG;Pipfall;Motorik, Timing, Strategie
Fallout 4;Open World RPG;Red Menace;Motorik, Timing, Strategie
Fallout 4;Open World RPG;Atomic Command;Motorik
Fallout 4;Open World RPG;Zeta Invaders;Motorik
Fallout 4;Open World RPG;Grognak the Barbarian and the Ruby Ruins;Strategie
Resident Evil Biohazard;Survival Horror;Schatten Puzzle;Logik
Resident Evil Biohazard;Survival Horror;"""7"" Puzzle";Logik
Resident Evil Biohazard;Survival Horror;Happy Birthday Puzzle;Logik
Resident Evil 2 (Remake);Survival Horror;Statue Puzzle;Motorik
Resident Evil 2 (Remake);Survival Horror;Electric Door Panel;Logik
Resident Evil 2 (Remake);Survival Horror;Zahlenkombnation;Motorik, Logik
Resident Evil 2 (Remake);Survival Horror;Tragbarer Tresor;Gedächtnis
Resident Evil 2 (Remake);Survival Horror;Generator Switch Puzzle;Logik
Resident Evil 2 (Remake);Survival Horror;Sherry Puzzle;Logik
Resident Evil 2 (Remake);Survival Horror;Verteilerkatusche Puzzle;Logik
Animal Crossing New Horizons;Simulation;Fischen;Motorik, Timing
Animal Crossing New Horizons;Simulation;Gruppengymnastik;Motorik
Resident Evil Village;Survival Horror;Labyrinth Puzzle;Motorik
Resident Evil Village;Survival Horror;Musik Box Puzzle;Logik
Resident Evil Village;Survival Horror;Film Puzzle;Logik
Resident Evil Village;Survival Horror;Schleusentor Puzzle;Logik
Resident Evil Village;Survival Horror;Piano Puzzle;Logik
Five Nights at Freddy's: Security Breach;Survival Horror;Princess Quest;Motorik
Five Nights at Freddy's: Security Breach;Survival Horror;Balloon World;Motorik, Timing
Five Nights at Freddy's: Security Breach;Survival Horror;Monty Golf AR-Arcade;Motorik
Resident Evil 4 (Remake);Survival Horror;Shooting Range;Motorik, Timing
Resident Evil 4 (Remake);Survival Horror;Symbol Schloss Puzzle;Logik
Resident Evil 4 (Remake);Survival Horror;Crystal Marble Puzzle;Logik
Resident Evil 4 (Remake);Survival Horror;Lake Door Puzzle;Logik
Resident Evil 4 (Remake);Survival Horror;Hexagon Puzzle;Logik
Resident Evil 4 (Remake);Survival Horror;Stained Glass Puzzle;Logik
Resident Evil 4 (Remake);Survival Horror;Strom Puzzel;Logik
Palia;Simulation;Angeln;Motorik, Timing
Palia;Simulation;Kochen;Motorik, Timing
Hogwarts Legacy;Open World RPG;Accio Duell;Motorik, Timing, Strategie
Hogwarts Legacy;Open World RPG;Duelling Club;Motorik
Hogwarts Legacy;Open World RPG;Broom Trials;Motorik
Hogwarts Legacy;Open World RPG;Battle Arena;Motorik
Hogwarts Legacy;Open World RPG;Alohomora / Lockpicking;Motorik
Hogwarts Legacy;Open World RPG;Ballons zerplatzen;Motorik
Hogwarts Legacy;Open World RPG;Merlins Prüfungen;Motorik
God of War III;Action-Adventure;Pandoras Musik Puzzle;Motorik, Timing
Resident Evil 3 (Remake);Survival Horror;Schienen Puzzle;Logik
Resident Evil 3 (Remake);Survival Horror;Lab Puzzle;Logik
Silent Hill f;Survival Horror;Altar Rätsel;Logik
Silent Hill f;Survival Horror;Zahlenkombnation;Logik, Motorik
Silent Hill f;Survival Horror;Geheimkiste Rätsel;Logik
Silent Hill f;Survival Horror;Waage Rätsel;Logik
Five Nights at Freddy's: Secret of the Mimic;Survival Horror;Data Diver Upgrade;Logik, Timing
Five Nights at Freddy's: Secret of the Mimic;Survival Horror;Power Generator;Logik
Five Nights at Freddy's: Secret of the Mimic;Survival Horror;Moon.exe;Logik
half life 2;First-Person Shooter;gravity gun puzzle;Logik, Planung, Geschicklichkeit
metal gear solid 3;Stealth;guy savage;Keine
TLOZ Minish Cap;Action-Adventure;simons simulations;Motorik
TLOZ Minish Cap;Action-Adventure;treasure chest game;Glück
TLOZ Minish Cap;Action-Adventure;cucco wrangling;Motorik, Strategie
FF VII;JRPG;arith climb;Glück
FF VII;JRPG;reactor door;Timing
FF VII;JRPG;squats;Timing
FF VII;JRPG;shinra building jump;Timing
FF VII;JRPG;stealth;Timing
FF VII;JRPG;bike;Strategie, Motorik
FF VII;JRPG;strategy fort condor;Strategie
FF VII;JRPG;cpr;Keine
FF VII;JRPG;parade;Timing
FF VII;JRPG;fall;Timing
FF VII;JRPG;chocobo racing;Motorik
FF VII;JRPG;arm wrestling;Motorik
FF VII;JRPG;basketball;Timing
FF VII;JRPG;mog house;Keine
FF VII;JRPG;wonder catcher;Glück
FF VII;JRPG;3d battler;Strategie, Glück
FF VII;JRPG;shooting coaster;Motorik
FF VII;JRPG;clock puzzle;Strategie
FF VII;JRPG;excavation;Glück
FF VII;JRPG;snowboarding;Motorik
FF VII;JRPG;glacier plattforming;Strategie
FF VII;JRPG;temperatur;Timing
FF VII;JRPG;whirlwind maze ;Timing
FF VII;JRPG;submarine game;Strategie
bioshock;First-Person Shooter;  hacking;Logik
mass effect 1;Action-RPG;bypass;Logik, Timing
mass effect 1;Action-RPG;override;Timing
mass effect 1;Action-RPG;pressure puzzle;Logik
mass effect 1;Action-RPG;cure puzzle;Logik
Persona 4;JRPG;fishing;Timing
persona 3 portable;JRPG;shuffle time;Glück
bioshock 2;First-Person Shooter;hacking;Timing
skyrim;Open World RPG;lockpicking;Logik
witcher 2;Action-RPG;am wrestling;Timing
witcher 2;Action-RPG;fistfights;Timing
witcher 2;Action-RPG;dice;Glück
bowsers inside story;RPG;bowser muscles;Timing
bowsers inside story;RPG;carrot eating;Observation
bowsers inside story;RPG;sneezing;Timing
bowsers inside story;RPG;adrenaline;Timing
bowsers inside story;RPG;chest station;Timing
bowsers inside story;RPG;statue push;Timing
mass effect 2;Action-RPG;bypass;Logik
mass effect 2;Action-RPG;planet scan;Keine
bioshock infinite;First-Person Shooter;shooting gallery;Motorik
TLOZ a link between worlds;Action-Adventure;cucco ranch;Motorik
TLOZ a link between worlds;Action-Adventure;fortunes choice;Glück
TLOZ a link between worlds;Action-Adventure;hyrule hotfoot;Motorik
TLOZ a link between worlds;Action-Adventure;octoball derby;Timing
Nier automata;Action-RPG;hacking;Geschicklichkeit
Nier automata;Action-RPG;shoot em up;Geschicklichkeit
fire emblem three houses;Action-RPG;fishing;Timing
fire emblem three houses;Tactical RPG;gardening;Keine
Persona 5 royal;RPG;batting cage;Timing
Persona 5 royal;RPG;crossword puzzles;Wissen
Persona 5 royal;RPG;darts;Timing
Persona 5 royal;RPG;fishing;Timing, Strategie
Persona 5 royal;RPG;quiz show;Wissen
Persona 5 royal;RPG;video games;Timing, Glück
super mario 3d world;Jump-'n'-Run;captain toads adventure;Timing, Logik
chained echoes;JRPG;fishing;Timing,Strategie
chained echoes;JRPG;rock paper scissor;Glück, Strategie
chained echoes;JRPG;dapple devour;Timing,
chained echoes;JRPG;tumultuous turtle touchdown;Glück, Strategie
paper mario the thousand year door;RPG;matching game;Glück, Timing
paper mario the thousand year door;RPG;plane game;Geschicklichkeit
paper mario the thousand year door;RPG;paper game;Geschicklichkeit
paper mario the thousand year door;RPG;tube game;Geschicklichkeit
paper mario the thousand year door;RPG;boat game;Geschicklichkeit
